geohash_5,SPEED
t802t,16.7
t802x,16.6
t808b,17.0
t809j,16.8
t809n,16.6
t809r,17.2
t80cs,16.9
t80cz,16.9
t80p4,11.1
t80pk,14.2
t80pm,11.0
t80px,11.1
t80rb,13.8
t811b,17.4
t811g,16.8
t814n,17.5
t8163,16.7
t816s,17.4
t816t,16.6
t816w,16.5
t816z,16.7
t81e5,17.2
t81eh,16.549999999999997
t81gd,16.7
t81ge,16.6
t81gz,17.3
t822j,13.7
t822m,11.6
t8289,11.3
t828d,13.7
t829j,11.2
t829p,14.2
t82cd,10.9
t82cv,14.3
t8343,11.1
t8370,11.8
t8377,13.0
t83ec,13.0
t83s5,11.7
t83sj,14.3
t83u9,11.9
t83ud,14.3
t83vq,11.8
t845b,16.7
t84h1,16.6
t84h4,17.3
t84hq,16.8
t84hr,16.8
t84kt,17.2
t84kv,16.6
t84t5,16.5
t84tq,16.4
t84v2,16.4
t84vd,17.3
t84vu,16.8
t84vy,16.4
t85jb,17.5
t85nq,17.0
t85qu,16.7
t85qv,18.3
t85x1,16.5
t85x5,18.4
t85xk,16.4
t85xq,16.6
t85xx,18.4
t85zv,16.6
t85zy,18.2
t86j2,14.2
t86jd,11.7
t86ju,16.1
t86nn,11.9
t86q7,16.0
t86qe,11.9
t86qv,12.0
t86qz,16.1
t86x0,12.3
t86xw,16.2
t86xz,11.8
t8db5,16.4
t8dbk,11.7
t8e1h,11.6
t8e38,11.9
t8e3d,14.4
t8e3u,12.1
t8e6n,15.1
t8ed2,12.2
t8ede,13.0
t8eds,8.3
t8eg0,13.85
t8egs,14.05
t8euz,12.3
t8evp,12.7
t8k07,16.6
t8k0k,17.4
t8k2v,17.1
t8k3p,17.4
t8k90,16.65
t8k9k,15.9
t8kc8,17.1
t8kcc,15.9
t8kf3,17.6
t8kf4,15.8
t8kfc,16.1
t8kfy,15.5
t8kg2,17.5
t8ktr,17.2
t8kub,16.1
t8kxq,16.2
t8mhz,16.0
t8mxd,15.3
t8n84,11.0
t8n8k,12.2
t8nb5,12.9
t8nbc,11.6
t8ncn,11.6
t8p09,12.5
t8p0d,12.4
t8p1d,11.9
t8p1z,11.7
t8p31,13.0
t8p37,12.9
t8p3x,12.7
t8p64,11.8
t8p6w,11.8
t8pdf,11.7
t8pdn,10.8
t8per,11.9
t8pf2,11.0
t8pfu,11.6
t8pgs,11.9
t8pup,12.9
t8s9m,16.4
t8sds,15.1
t8seg,16.1
t8seh,15.8
t8sj0,16.6
t8smz,5.0
t8sn3,16.1
t8sn6,12.4
t8sps,15.8
t8spx,12.1
t8spz,0.0
t8sqn,5.0
t8squ,16.1
t8sqv,7.8
t8sr9,15.4
t8srb,0.1
t8sre,8.6
t8srk,8.8
t8sru,9.7
t8st0,12.9
t8st1,16.0
t8t8m,15.1
t8tc0,15.3
t8tfm,15.4
t8u20,8.9
t8u21,8.2
t8u22,6.2
t8u23,6.6
t8u24,5.3
t8u27,1.7
t8u2j,0.8
t8u2k,9.0
t8u2n,3.5
t8u80,5.5
t8u81,7.3
t8u82,12.6
t8u86,8.7
t8u8p,10.8
t8u8q,9.3
t8u8r,13.6
t8u8u,10.5
t8ub9,12.85
t8ubc,13.1
t8ubh,10.8
t8ubp,10.8
t8uc0,10.6
t8uch,8.3
t8ucj,14.4
t8ucr,10.350000000000001
t8v03,10.9
t8v18,14.1
t8v1e,9.6
t8v1f,8.1
t8v1g,12.4
t8v3f,9.6
t8v4n,14.3
t8v4r,11.8
t8v4x,12.7
t8v62,14.5
t8v6g,11.600000000000001
t8v6h,9.5
t8v6u,13.0
t8v7j,10.3
t8v7q,14.4
t8v8v,11.1
t8vbf,10.8
t8vbu,10.9
t8vd2,9.7
t8vd3,10.0
t8vdw,10.2
t8ve2,8.1
t8ved,7.4
t8vf9,10.0
t8vsn,7.0
t8vsr,6.9
t8vu2,14.6
t8vu9,9.85
t8vug,12.7
t8vuu,6.1
t8vvn,9.9
t8vvr,14.100000000000001
t8w51,15.3
t8whq,14.8
t8wm1,15.0
t8wqj,15.2
t8wxu,14.5
t8y1j,11.2
t8y37,11.6
t8y3q,10.8
t8y54,10.3
t8y5k,10.2
t8y96,10.8
t8yj2,6.5
t8yj3,14.9
t8yjd,6.7
t8ynj,9.45
t8ynn,13.149999999999999
t8yq3,13.9
t8yq9,8.1
t8yqd,9.4
t8yqv,7.9
t8yrn,9.5
t8yrp,13.1
t8ysh,10.1
t8ysn,10.1
t8yus,9.8
t8yux,9.8
t8yx2,12.399999999999999
t8yxd,12.9
t8yxu,8.4
t8z48,14.7
t8z54,14.7
t8z5s,14.5
t8z6j,11.4
t8zd0,11.4
t8zdq,11.3
